11c10e3fc5; She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her;positive
19526ac03e;tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it;neutral
960bbdc0c3;goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?;positive
fd285fe74a; me too. I hate my computer so much..;negative
a5a1c996c0; fine! Going to do my big walk today 20 or so miles;positive
20ec7c7c32;I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!;negative
b948984e8d;Mmmmmmmm... ? it in the morning;neutral
6824c44c21; me neither;neutral
02d140362f;Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah;neutral
5f93cc70ff;Bugger. forgot I still have washing in my machine;negative
4e6a5c0034;_Laurie sending love, blessings & healing thoughts to you & family  peace;positive
e4e9b8713a;My back hurts...really bad;negative
08975f62a8; ah yes, I know that feeling;neutral
4a1ce7dc3b;Night of the cookers with my dad;neutral
328a0e76bd;My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal;negative
abbd0db2a5; Nope I am in Coquitlam;neutral
940eb93dd5; Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol;negative
c78bf59e67;  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!;positive
e73425ffdc;Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.;neutral
e56eeb4968;Few Bevvies 2day in twn..great on a day off!!;positive
7162d447ab;first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!;positive
f3d95b57b1; good morning;positive
5e4eac2b2e; its the best show EVER!;positive
bc02870b7d;URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES;negative
80e45e833f;i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .;neutral
f29df52d91; I want to know when the auditions are Mander! Text or...reply please!;neutral
079e4e3472;or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE;negative
557e676fe4; I miss my neice  can`t wait to see her bad n grown ****! Lol;negative
8d09044937;i need to get my computer fixed;neutral
9d3a1e0269;really hopes her car`s illness is not terminal...;negative
